language,matrix_size,speedup_vs_python
C,64,34.04548248309772
C,128,20.061761919797917
C,256,28.374086399730395
C,512,74.1670101731203
C,1024,102.26262562515132
Java,64,15.328333840661923
Java,128,26.996906655788973
Java,256,43.358443865809654
Java,512,60.442603093414974
Java,1024,64.45869939064148
