language,matrix_size,run_index,elapsed_sec,memory_used_mb,timestamp_iso
C,64,1,0.000416,0,2025-10-22T11:36:08
C,64,2,0.000362,0,2025-10-22T11:36:08
C,64,3,0.000257,0,2025-10-22T11:36:08
C,64,4,0.000244,0,2025-10-22T11:36:08
C,64,5,0.000348,0,2025-10-22T11:36:08
C,128,1,0.003031,0,2025-10-22T11:36:14
C,128,2,0.003083,0,2025-10-22T11:36:14
C,128,3,0.003670,0,2025-10-22T11:36:14
C,128,4,0.002785,0,2025-10-22T11:36:14
C,128,5,0.003266,0,2025-10-22T11:36:14
C,256,1,0.019173,0,2025-10-22T11:36:21
C,256,2,0.022714,0,2025-10-22T11:36:21
C,256,3,0.021777,0,2025-10-22T11:36:21
C,256,4,0.016443,0,2025-10-22T11:36:21
C,256,5,0.014847,0,2025-10-22T11:36:21
C,512,1,0.151211,0,2025-10-22T11:36:27
C,512,2,0.110255,0,2025-10-22T11:36:27
C,512,3,0.107489,0,2025-10-22T11:36:27
C,512,4,0.103684,0,2025-10-22T11:36:27
C,512,5,0.102799,0,2025-10-22T11:36:27
C,1024,1,1.145062,4,2025-10-22T11:36:36
C,1024,2,1.198635,0,2025-10-22T11:36:37
C,1024,3,1.155509,0,2025-10-22T11:36:38
C,1024,4,1.158511,0,2025-10-22T11:36:40
C,1024,5,1.141679,0,2025-10-22T11:36:41
Java,64,1,0.0018299,0.0,2025-10-22T11:37:16.3935614
Java,64,2,3.588E-4,0.0,2025-10-22T11:37:16.4010666
Java,64,3,4.715E-4,0.0,2025-10-22T11:37:16.4030719
Java,64,4,7.991E-4,0.0,2025-10-22T11:37:16.4050715
Java,64,5,1.544E-4,0.0,2025-10-22T11:37:16.4070743
Java,128,1,0.0051602,0.0,2025-10-22T11:37:20.7933761
Java,128,2,0.001822,0.0,2025-10-22T11:37:20.8029034
Java,128,3,0.0023669,0.480987548828125,2025-10-22T11:37:20.8054163
Java,128,4,0.0011706,0.0,2025-10-22T11:37:20.8089684
Java,128,5,0.0012475,0.0,2025-10-22T11:37:20.8108725
Java,256,1,0.0172845,0.481964111328125,2025-10-22T11:37:25.4250403
Java,256,2,0.0137407,0.481964111328125,2025-10-22T11:37:25.4463437
Java,256,3,0.0092541,0.96392822265625,2025-10-22T11:37:25.4574498
Java,256,4,0.0103656,0.0721893310546875,2025-10-22T11:37:25.4692091
Java,256,5,0.0114937,0.481964111328125,2025-10-22T11:37:25.481628
Java,512,1,0.1448664,2.0038986206054688,2025-10-22T11:37:30.9004618
Java,512,2,0.1452797,2.0073471069335938,2025-10-22T11:37:31.0521519
Java,512,3,0.1356114,2.0,2025-10-22T11:37:31.1893554
Java,512,4,0.1310427,2.0,2025-10-22T11:37:31.3233378
Java,512,5,0.1492997,2.0,2025-10-22T11:37:31.4740454
Java,1024,1,2.1037736,7.3978424072265625,2025-10-22T11:37:38.4518073
Java,1024,2,1.9617733,8.213340759277344,2025-10-22T11:37:40.426853
Java,1024,3,1.8002621,0.0,2025-10-22T11:37:42.2283691
Java,1024,4,1.6872871,8.278648376464844,2025-10-22T11:37:43.9175051
Java,1024,5,1.6475466,8.278648376464844,2025-10-22T11:37:45.566449
Python,64,1,0.008532,0.17,2025-10-22T11:38:53
Python,64,2,0.012696,0.18,2025-10-22T11:38:53
Python,64,3,0.010484,0.00,2025-10-22T11:38:53
Python,64,4,0.011242,0.00,2025-10-22T11:38:53
Python,64,5,0.012438,0.00,2025-10-22T11:38:53
Python,128,1,0.060323,0.65,2025-10-22T11:38:58
Python,128,2,0.057856,0.68,2025-10-22T11:38:58
Python,128,3,0.067521,0.00,2025-10-22T11:38:58
Python,128,4,0.069100,0.12,2025-10-22T11:38:58
Python,128,5,0.062878,0.00,2025-10-22T11:38:58
Python,256,1,0.510577,2.51,2025-10-22T11:39:03
Python,256,2,0.509219,2.50,2025-10-22T11:39:03
Python,256,3,0.551353,0.06,2025-10-22T11:39:04
Python,256,4,0.573531,0.00,2025-10-22T11:39:05
Python,256,5,0.549553,0.00,2025-10-22T11:39:05
Python,512,1,7.106005,10.32,2025-10-22T11:39:19
Python,512,2,7.673959,1.85,2025-10-22T11:39:26
Python,512,3,9.143135,1.00,2025-10-22T11:39:35
Python,512,4,9.287326,0.04,2025-10-22T11:39:45
Python,512,5,9.468091,1.02,2025-10-22T11:39:54
Python,1024,1,91.558817,41.25,2025-10-22T11:41:45
Python,1024,2,95.508837,3.91,2025-10-22T11:43:21
Python,1024,3,95.287264,0.00,2025-10-22T11:44:56
Python,1024,4,146.755628,1.36,2025-10-22T11:47:23
Python,1024,5,163.950916,0.00,2025-10-22T11:50:07
